Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"log2","543,660","543,660",28.28,28.28,
"std::generate_canonical<double,-1,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >","1,606,347","396,301",83.56,20.61,
"ceil","303,321","303,321",15.78,15.78,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","363,039","300,161",18.88,15.61,
"decode","83,760","73,940",4.36,3.85,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower","62,902","62,902",3.27,3.27,
"mutate","1,646,419","47,993",85.64,2.50,
"_malloc_base","47,121","47,121",2.45,2.45,
"_free_base","32,793","32,793",1.71,1.71,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append","24,307","24,307",1.26,1.26,
"memcpy","19,965","19,965",1.04,1.04,
"check_guess","64,744","15,772",3.37,0.82,
"roulette_wheel_selection","13,899","8,688",0.72,0.45,
"std::basic_streambuf<char,std::char_traits<char> >::xsputn","7,769","7,769",0.40,0.40,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Construct<unsigned char * __ptr64>","30,135","5,828",1.57,0.30,
"memcmp","3,446","3,446",0.18,0.18,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=","38,880","3,062",2.02,0.16,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Tidy","28,167","2,215",1.47,0.12,
"std::_Uninitialized_move_al_unchecked1<std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >","2,035","2,035",0.11,0.11,
"memset","1,479","1,479",0.08,0.08,
"operator new","49,335","1,474",2.57,0.08,
"std::_Wrap_alloc<std::allocator<unsigned int> >::allocate","38,843","1,436",2.02,0.07,
"std::swap<genome,void>","1,650","1,329",0.09,0.07,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::push_back","6,060","1,056",0.32,0.05,
"cross_over","21,290","1,018",1.11,0.05,
"free","1,018","1,018",0.05,0.05,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >","14,719",999,0.77,0.05,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy","24,373",966,1.27,0.05,
"std::basic_ostream<char,std::char_traits<char> >::operator<<",964,964,0.05,0.05,
"epoch","1,740,326",946,90.53,0.05,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>","3,226",891,0.17,0.05,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy","6,038",834,0.31,0.04,
"std::_Uninitialized_default_fill_n1<genome * __ptr64,unsigned __int64,std::allocator<genome> >",785,785,0.04,0.04,
"comp_by_fitness",761,761,0.04,0.04,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",803,475,0.04,0.02,
"operator delete",431,431,0.02,0.02,
"std::_Rng_from_urng<unsigned int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::operator()",422,398,0.02,0.02,
"malloc",395,395,0.02,0.02,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >","9,820",389,0.51,0.02,
"std::vector<unsigned char,std::allocator<unsigned char> >::vector<unsigned char,std::allocator<unsigned char> >","5,493",386,0.29,0.02,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Reallocate","5,004",366,0.26,0.02,
"update_epoch","1,840,743",347,95.75,0.02,
"malloc",345,345,0.02,0.02,
"free",292,292,0.02,0.02,
