Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"log2","543,660",28.28,"543,660",28.28,0,0,0,0,
"ceil","303,321",15.78,"303,321",15.78,0,0,0,0,
"std::generate_canonical<double,-1,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >","194,218",10.10,"1,041,225",54.16,307,0,307,0,
"std::generate_canonical<double,-1,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >","69,082",3.59,"69,082",3.59,312,0,312,0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","61,124",3.18,"61,124",3.18,"1,346",0,"1,346",0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","55,676",2.90,"55,676",2.90,"1,351",0,"1,351",0,
"_malloc_base","47,121",2.45,"47,121",2.45,0,0,0,0,
"std::generate_canonical<double,-1,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >","42,473",2.21,"405,512",21.09,316,0,316,0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","41,302",2.15,"41,302",2.15,"1,345",0,"1,345",0,
"_free_base","32,793",1.71,"32,793",1.71,0,0,0,0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower","29,865",1.55,"29,865",1.55,"1,383",0,"1,383",0,
"std::generate_canonical<double,-1,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >","29,541",1.54,"29,541",1.54,317,0,317,0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","28,965",1.51,"28,965",1.51,"1,350",0,"1,350",0,
"mutate","28,831",1.50,"1,627,257",84.65,108,0,108,0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","28,088",1.46,"28,088",1.46,"1,353",0,"1,353",0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","28,077",1.46,"28,077",1.46,"1,356",0,"1,356",0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","27,890",1.45,"27,890",1.45,"1,352",0,"1,352",0,
"decode","24,044",1.25,"24,044",1.25,146,0,146,0,
"std::generate_canonical<double,-1,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >","19,291",1.00,"19,291",1.00,321,0,321,0,
"decode","18,601",0.97,"18,601",0.97,152,0,152,0,
"memcpy","18,107",0.94,"18,107",0.94,135,0,135,0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower","17,950",0.93,"17,950",0.93,"1,375",0,"1,375",0,
"mutate","17,412",0.91,"17,412",0.91,109,0,109,0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","14,547",0.76,"14,547",0.76,"1,347",0,"1,347",0,
"std::generate_canonical<double,-1,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >","14,322",0.74,"14,322",0.74,296,0,296,0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","14,215",0.74,"14,215",0.74,"1,344",0,"1,344",0,
"std::generate_canonical<double,-1,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >","13,761",0.72,"13,761",0.72,314,0,314,0,
"std::generate_canonical<double,-1,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >","13,613",0.71,"13,613",0.71,320,0,320,0,
"decode","10,523",0.55,"10,523",0.55,145,0,145,0,
"decode","9,296",0.48,"9,296",0.48,153,0,153,0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower","9,258",0.48,"9,258",0.48,"1,382",0,"1,382",0,
"std::basic_streambuf<char,std::char_traits<char> >::xsputn","7,736",0.40,"7,736",0.40,411,0,411,0,
"check_guess","6,117",0.32,"6,117",0.32,180,0,180,0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower","5,354",0.28,"5,354",0.28,"1,374",0,"1,374",0,
"roulette_wheel_selection","4,363",0.23,"4,363",0.23,72,0,72,0,
"decode","4,243",0.22,"4,243",0.22,150,0,150,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append","4,217",0.22,"4,217",0.22,"1,121",0,"1,121",0,
"decode","4,092",0.21,"4,092",0.21,143,0,143,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append","4,034",0.21,"4,034",0.21,"1,118",0,"1,118",0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append","3,818",0.20,"3,818",0.20,"1,112",0,"1,112",0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append","3,677",0.19,"3,677",0.19,"1,119",0,"1,119",0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Construct<unsigned char * __ptr64>","3,027",0.16,"3,027",0.16,878,0,878,0,
"check_guess","3,022",0.16,"3,022",0.16,174,0,174,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append","2,822",0.15,"2,822",0.15,"1,116",0,"1,116",0,
"check_guess","2,758",0.14,"2,758",0.14,175,0,175,0,
"roulette_wheel_selection","2,325",0.12,"2,325",0.12,71,0,71,0,
"check_guess","2,047",0.11,"2,047",0.11,179,0,179,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append","2,021",0.11,"2,021",0.11,"1,111",0,"1,111",0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Construct<unsigned char * __ptr64>","1,987",0.10,"26,294",1.37,879,0,879,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append","1,956",0.10,"1,956",0.10,"1,122",0,"1,122",0,
"std::_Uninitialized_move_al_unchecked1<std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >","1,867",0.10,"1,867",0.10,278,0,278,0,
"decode","1,595",0.08,"1,595",0.08,155,0,155,0,
"free","1,018",0.05,"1,018",0.05,0,0,0,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append","1,011",0.05,"1,011",0.05,"1,115",0,"1,115",0,
"check_guess",970,0.05,"37,135",1.93,176,0,176,0,
"std::basic_ostream<char,std::char_traits<char> >::operator<<",897,0.05,897,0.05,326,0,326,0,
"mutate",866,0.05,866,0.05,106,0,106,0,
"std::_Wrap_alloc<std::allocator<unsigned int> >::allocate",854,0.04,"38,261",1.99,976,0,976,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",787,0.04,787,0.04,994,0,994,0,
