Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"_log2","19,251","19,251",53.80,53.80,
"mutate","24,416","5,375",68.23,15.02,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","3,010","3,010",8.41,8.41,
"__ceil_pentium4","2,825","2,825",7.89,7.89,
"decode","1,180","1,070",3.30,2.99,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower",866,866,2.42,2.42,
"_ceil",780,780,2.18,2.18,
"_malloc_base",528,528,1.48,1.48,
"_free",452,452,1.26,1.26,
"memmove",358,358,1.00,1.00,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Construct<unsigned char *>",247,247,0.69,0.69,
"check_guess",690,213,1.93,0.60,
"__dlog",169,169,0.47,0.47,
"cross_over",299,112,0.84,0.31,
"roulette_wheel_selection",144,84,0.40,0.23,
"std::basic_streambuf<char,std::char_traits<char> >::sputn",80,80,0.22,0.22,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",335,36,0.94,0.10,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy",298,29,0.83,0.08,
"_ceil",24,24,0.07,0.07,
"std::_Wrap_alloc<std::allocator<unsigned int> >::allocate",440,23,1.23,0.06,
"operator new",554,19,1.55,0.05,
"epoch","33,503",16,93.62,0.04,
"std::_Partition_by_median_guess_unchecked<genome *,bool (__cdecl*)(genome const &,genome const &)>",30,16,0.08,0.04,
"std::basic_ostream<char,std::char_traits<char> >::operator<<",16,16,0.04,0.04,
"memset",15,15,0.04,0.04,
"std::_Uninitialized_move_al_unchecked1<std::vector<unsigned int,std::allocator<unsigned int> > *,std::vector<unsigned int,std::allocator<unsigned int> > *,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >",14,14,0.04,0.04,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",87,14,0.24,0.04,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Construct<unsigned char *>",326,12,0.91,0.03,
"RtlAllocateHeap",11,11,0.03,0.03,
"std::swap<genome,void>",11,11,0.03,0.03,
"std::_Uninitialized_default_fill_n1<genome *,unsigned int,std::allocator<genome> >",10,10,0.03,0.03,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",67,10,0.19,0.03,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::push_back",59,10,0.16,0.03,
"std::_Destroy_range1<std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > >,std::vector<unsigned int,std::allocator<unsigned int> > *>",93,8,0.26,0.02,
"update_epoch","34,895",8,97.51,0.02,
"std::_Insertion_sort_unchecked<genome *,bool (__cdecl*)(genome const &,genome const &)>",7,7,0.02,0.02,
"std::_Wrap_alloc<std::allocator<unsigned int> >::deallocate",369,7,1.03,0.02,
"_malloc",6,6,0.02,0.02,
"_free_base",5,5,0.01,0.01,
"_malloc",5,5,0.01,0.01,
"comp_by_fitness",5,5,0.01,0.01,
"std::vector<unsigned char,std::allocator<unsigned char> >::vector<unsigned char,std::allocator<unsigned char> >",65,5,0.18,0.01,
"_free",3,3,0.01,0.01,
"common_system<char>",3,3,0.01,0.01,
"main","35,785",3,100.00,0.01,
"std::_Destroy_range1<std::allocator<genome>,genome *>",142,3,0.40,0.01,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",94,3,0.26,0.01,
"_memset",2,2,0.01,0.01,
"std::basic_ostream<char,std::char_traits<char> >::put",2,2,0.01,0.01,
"_GetLastError@0",1,1,0.00,0.00,
"_GetLastErrorStub@0",1,1,0.00,0.00,
"std::_Guess_median_unchecked<genome *,bool (__cdecl*)(genome const &,genome const &)>",2,1,0.01,0.00,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Reallocate",45,1,0.13,0.00,
"__scrt_common_main_seh","35,785",0,100.00,0.00,
"grab_N_best",57,0,0.16,0.00,
"std::_Sort_unchecked1<genome *,int,bool (__cdecl*)(genome const &,genome const &)>",40,0,0.11,0.00,
"std::basic_istream<wchar_t,std::char_traits<wchar_t> >::operator>>",2,0,0.01,0.00,
"std::endl<char,std::char_traits<char> >",2,0,0.01,0.00,
"std::operator<<<char,std::char_traits<char>,std::allocator<char> >",47,0,0.13,0.00,
"std::operator<<<std::char_traits<char> >",33,0,0.09,0.00,
"std::vector<genome,std::allocator<genome> >::_Tidy",2,0,0.01,0.00,
"std::vector<genome,std::allocator<genome> >::vector<genome,std::allocator<genome> >",10,0,0.03,0.00,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",15,0,0.04,0.00,
